f_1,f_2,f_3,a_1,a_2
100.0,-5.556,-21.495,-0.212,-0.257
100.0,-5.034,-21.436,-0.206,-0.25
100.0,-4.502,-21.372,-0.201,-0.243
100.0,-3.96,-21.304,-0.195,-0.236
100.0,-3.409,-21.23,-0.19,-0.229
100.0,-2.849,-21.152,-0.184,-0.222
100.0,-2.279,-21.07,-0.178,-0.214
100.0,-1.701,-20.983,-0.173,-0.207
100.0,-1.114,-20.893,-0.167,-0.199
100.0,14.685,-6.67,0.279,-0.082
100.0,13.857,-7.003,0.255,-0.103
100.0,13.139,-7.314,0.233,-0.116
100.0,12.606,-7.605,0.212,-0.121
100.0,12.281,-7.875,0.194,-0.121
100.0,12.159,-8.129,0.178,-0.116
100.0,12.219,-8.367,0.165,-0.108
100.0,12.437,-8.593,0.154,-0.097
100.0,12.788,-8.807,0.145,-0.083
100.0,13.254,-9.012,0.138,-0.068
100.0,13.821,-9.21,0.132,-0.052
100.0,14.478,-9.402,0.127,-0.035
100.0,15.22,-9.59,0.124,-0.017
100.0,16.042,-9.775,0.122,0.002
100.0,16.944,-9.959,0.12,0.021
100.0,17.927,-10.142,0.12,0.04
100.0,18.994,-10.328,0.12,0.06
100.0,20.15,-10.515,0.122,0.08
100.0,21.4,-10.707,0.124,0.1
100.0,22.752,-10.904,0.128,0.12
100.0,24.215,-11.108,0.132,0.14
100.0,25.798,-11.321,0.138,0.16
100.0,27.513,-11.546,0.145,0.18
100.0,29.374,-11.786,0.154,0.2
100.0,31.398,-12.045,0.165,0.22
100.0,33.605,-12.327,0.178,0.239
100.0,36.016,-12.641,0.194,0.258
100.0,38.66,-12.993,0.214,0.277
100.0,41.571,-13.397,0.238,0.296
100.0,44.789,-13.868,0.269,0.315
100.0,48.364,-14.427,0.306,0.334
100.0,52.357,-15.103,0.354,0.354
100.0,56.838,-15.937,0.414,0.377
100.0,61.886,-16.984,0.49,0.404
100.0,67.581,-18.323,0.588,0.438
100.0,73.988,-20.067,0.71,0.484
100.0,81.142,-22.377,0.86,0.543
100.0,89.034,-25.47,1.03,0.604
100.0,97.558,-29.508,1.201,0.641
100.0,100.0,-34.283,1.347,0.623
100.0,100.0,-38.861,1.449,0.551
100.0,100.0,-42.431,1.505,0.442
100.0,100.0,-44.767,1.529,0.314
100.0,100.0,-46.041,1.539,0.184
100.0,100.0,-46.526,1.547,0.064
100.0,100.0,-46.442,1.561,-0.036
100.0,100.0,-45.952,1.571,-0.116
100.0,100.0,-45.18,1.571,-0.179
100.0,100.0,-44.225,1.571,-0.231
100.0,100.0,-43.142,1.571,-0.274
100.0,100.0,-41.968,1.571,-0.312
100.0,100.0,-40.723,1.571,-0.347
100.0,100.0,-39.419,1.571,-0.381
100.0,100.0,-38.067,1.571,-0.417
100.0,100.0,-36.678,1.571,-0.455
100.0,100.0,-35.264,1.571,-0.5
100.0,100.0,-33.845,1.571,-0.553
100.0,100.0,-32.438,1.571,-0.619
100.0,100.0,-31.063,1.571,-0.698
100.0,100.0,-29.728,1.571,-0.785
100.0,100.0,-28.424,1.571,-0.871
100.0,100.0,-27.147,1.571,-0.939
100.0,100.0,-25.925,1.556,-0.983
100.0,100.0,-24.822,1.518,-1.003
100.0,100.0,-23.894,1.481,-1.008
100.0,100.0,-23.157,1.443,-1.005
100.0,100.0,-22.596,1.404,-0.999
100.0,100.0,-22.184,1.364,-0.992
100.0,100.0,-21.887,1.324,-0.985
100.0,100.0,-21.67,1.282,-0.98
100.0,100.0,-21.505,1.24,-0.975
100.0,100.0,-21.366,1.198,-0.971
100.0,100.0,-21.232,1.155,-0.968
100.0,100.0,-21.084,1.112,-0.966
100.0,100.0,-20.908,1.068,-0.963
100.0,100.0,-20.69,1.022,-0.96
100.0,100.0,-20.419,0.976,-0.957
100.0,100.0,-20.089,0.928,-0.952
100.0,100.0,-19.695,0.879,-0.946
100.0,100.0,-19.239,0.829,-0.938
100.0,100.0,-18.731,0.78,-0.926
100.0,100.0,-18.191,0.731,-0.909
100.0,100.0,-17.652,0.687,-0.888
100.0,100.0,-17.155,0.647,-0.862
100.0,100.0,-16.743,0.616,-0.832
100.0,100.0,-16.448,0.594,-0.8
100.0,100.0,-16.28,0.582,-0.769
100.0,100.0,-16.227,0.577,-0.743
100.0,100.0,-16.269,0.578,-0.723
100.0,100.0,-16.386,0.584,-0.711
100.0,100.0,-16.563,0.593,-0.706
100.0,100.0,-16.791,0.605,-0.707
100.0,100.0,-17.062,0.62,-0.713
100.0,100.0,-17.369,0.638,-0.723
100.0,100.0,-17.706,0.657,-0.736
100.0,100.0,-18.068,0.679,-0.752
100.0,100.0,-18.449,0.702,-0.77
100.0,100.0,-18.843,0.727,-0.79
100.0,100.0,-19.246,0.754,-0.812
100.0,100.0,-19.651,0.782,-0.835
100.0,100.0,-20.055,0.811,-0.859
100.0,100.0,-20.452,0.841,-0.884
100.0,100.0,-20.84,0.871,-0.91
100.0,100.0,-21.213,0.903,-0.937
100.0,100.0,-21.57,0.935,-0.964
100.0,100.0,-21.906,0.967,-0.991
100.0,100.0,-22.22,1.0,-1.018
100.0,100.0,-22.509,1.033,-1.046
100.0,100.0,-22.771,1.066,-1.073
100.0,100.0,-23.006,1.1,-1.101
100.0,100.0,-23.212,1.134,-1.128
100.0,100.0,-23.389,1.167,-1.154
100.0,100.0,-23.537,1.201,-1.181
100.0,100.0,-23.657,1.234,-1.206
100.0,100.0,-23.75,1.267,-1.231
100.0,100.0,-23.817,1.3,-1.256
100.0,100.0,-23.86,1.332,-1.279
100.0,100.0,-23.882,1.364,-1.301
100.0,100.0,-23.887,1.395,-1.322
100.0,100.0,-23.878,1.426,-1.343
100.0,100.0,-23.859,1.455,-1.361
100.0,100.0,-23.834,1.484,-1.379
100.0,100.0,-23.809,1.512,-1.396
100.0,100.0,-23.787,1.538,-1.411
100.0,100.0,-23.774,1.563,-1.425
100.0,100.0,-23.774,1.571,-1.437
100.0,100.0,-23.795,1.571,-1.449
100.0,100.0,-23.841,1.571,-1.461
100.0,100.0,-23.909,1.571,-1.472
100.0,100.0,-23.995,1.571,-1.484
100.0,100.0,-24.098,1.571,-1.495
100.0,100.0,-24.212,1.571,-1.506
100.0,100.0,-24.334,1.571,-1.516
100.0,100.0,17.972,-0.2,-0.876
100.0,100.0,12.636,0.189,-0.842
100.0,100.0,10.144,0.391,-0.866
100.0,100.0,8.899,0.498,-0.881
100.0,100.0,8.255,0.554,-0.888
100.0,100.0,7.925,0.583,-0.89
100.0,100.0,7.778,0.595,-0.89
100.0,100.0,7.748,0.598,-0.888
100.0,100.0,7.798,0.594,-0.885
100.0,100.0,7.908,0.586,-0.88
100.0,100.0,8.065,0.576,-0.874
100.0,100.0,8.259,0.563,-0.867
100.0,100.0,8.484,0.549,-0.858
100.0,100.0,8.733,0.535,-0.849
100.0,100.0,8.999,0.519,-0.838
100.0,100.0,9.278,0.504,-0.827
100.0,100.0,9.563,0.488,-0.814
100.0,100.0,9.849,0.472,-0.801
100.0,100.0,10.13,0.456,-0.787
100.0,100.0,10.401,0.44,-0.772
100.0,100.0,10.657,0.425,-0.757
100.0,100.0,10.894,0.41,-0.743
100.0,100.0,11.109,0.396,-0.728
100.0,100.0,11.3,0.382,-0.714
100.0,100.0,11.466,0.369,-0.701
100.0,100.0,11.608,0.356,-0.688
100.0,100.0,11.727,0.345,-0.677
100.0,100.0,11.826,0.335,-0.668
100.0,100.0,11.908,0.326,-0.66
100.0,100.0,11.977,0.317,-0.653
100.0,100.0,12.038,0.31,-0.648
100.0,100.0,12.093,0.304,-0.645
100.0,100.0,12.147,0.3,-0.643
100.0,100.0,12.202,0.296,-0.643
100.0,100.0,12.262,0.293,-0.644
100.0,100.0,12.329,0.291,-0.647
100.0,100.0,12.404,0.291,-0.651
100.0,100.0,12.49,0.291,-0.656
100.0,100.0,12.589,0.291,-0.662
100.0,100.0,12.699,0.292,-0.67
100.0,100.0,12.824,0.294,-0.678
100.0,100.0,12.963,0.295,-0.686
