,x,y,psi,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
794,755.8399286012535,604.1385450181782,0.3594314792189879,-78.52510525443873,-50.22766044126507,0.0,-0.476822012514313,0.0,0.0,84.31595796484933,-2.4061773687914196,0.47578676268527653
795,644.5466853645149,549.7604003265747,-0.24463872393430797,58.70937307943868,-6.226029077546123,0.0,0.2432869489647651,0.0,0.0,18.566757085674254,-0.7263117607992965,-0.12828344046801932
796,778.0972641687201,532.2421622254349,-0.08229064743436598,-77.60758604295145,-9.152306424904324,0.0,-0.21850264453954749,0.0,0.0,28.072963680018514,-2.711565371429517,0.034064636031922654
797,669.9149356179493,583.1775842249585,0.397694506097259,6.948120017048755,-61.14014863678647,0.0,0.353454024832129,0.0,0.0,52.63114639895496,-2.591654948538798,0.5140497895635476
798,595.9064143024215,598.6890684170148,-0.5621267217612108,124.9528952543476,-3.0619829113701016,0.0,0.04814300244179415,0.0,0.0,62.23957198062874,-0.6026860727719475,-0.44577143829492216
799,665.8121645946599,564.0968705621978,-0.28220458711295726,42.469815122088946,-23.707938457311705,0.0,0.11071912090331953,0.0,0.0,34.48620775407146,-0.9478454500573517,-0.1658493036466686
800,609.5402956515553,569.021977263252,0.5920461254883105,53.00787572477002,-83.27730728567278,0.0,0.43930174388278953,0.0,0.0,14.75275615668969,-2.89566608127965,0.7084014089545991
801,755.8573278312626,574.5908043731866,0.10668882253626566,-60.34129484853533,-38.886370973289075,0.0,-0.10973903581213801,0.0,0.0,60.876568093632244,-2.369596545338733,0.2230441060025543
802,595.6825090033195,599.7958349722735,-0.12304758529870041,112.15668864411197,-56.96069289149621,0.0,0.08648042720410765,0.0,0.0,61.90486540213397,-1.2605567487896066,-0.006692301832411776
803,615.1032307257669,596.8264156586679,0.018698878331005253,83.62307261923472,-68.90202757803489,0.0,0.00948577998630118,0.0,0.0,67.5772355183721,-2.255234069624482,0.1350541617972939
804,816.6030572926147,535.4995736876964,-0.33778298567270304,-108.02578025100546,-44.30235496652935,0.0,-0.25092807747002976,0.0,0.0,23.035788174832337,-0.7674327336416356,-0.2214277022064144
805,746.1164906911105,586.6638667992515,-0.7624851865108359,6.136430255219793,-73.19004443794712,0.0,-0.07921151977269869,0.0,0.0,62.126213927318986,-0.4849709817267075,-0.6461299030445472
806,810.8570826315389,541.1488290403282,0.05966493337628942,-111.35443517083041,-5.017744052058495,0.0,-0.2943302461261532,0.0,0.0,36.641968427951284,-2.619694300956894,0.17602021684257807
807,657.4337806077972,545.8430333234718,0.03219448361186095,42.01809704716301,-17.704725134619952,0.0,0.09069947508007464,0.0,0.0,20.63826839450281,-2.822204715815764,0.1485497670781496
808,782.368017281211,593.4809773738524,0.5870848939469411,-104.01762503763207,-7.641296884813599,0.0,-0.033370931347476596,0.0,0.0,71.73557227435222,-2.5914069780619604,0.7034401774132297
809,710.3198270260347,577.20920751533,0.6736507085456678,-37.82852640984908,-30.849147496283415,0.0,-0.3417560632591538,0.0,0.0,41.99439844711498,-2.7556386016763352,0.7900059920119564
810,739.4829725471966,600.7413553054182,-0.4163633344541661,-7.297124116033576,-81.12328769564706,0.0,-0.028604978470937903,0.0,0.0,77.42155365358221,-1.0632906070964316,-0.3000080509878775
811,720.0270760303788,562.5109325140943,0.3564851086635621,-30.2881960216149,-23.946411454180183,0.0,-0.03874724202743712,0.0,0.0,37.724524224911534,-2.6967828419826523,0.47284039212985074
812,678.3808540956375,604.3544098815771,0.09279645498007139,14.589870512559248,-76.53565069155694,0.0,0.44922717774179577,0.0,0.0,80.22384687692261,-2.2328793850552273,0.20915173844636004
813,632.6995477288579,562.2423086642445,0.4587127424367432,45.84504164278597,-59.15777048990408,0.0,0.2823177094085469,0.0,0.0,15.167700164675969,-2.8878687486503196,0.5750680259030319
814,678.718190166224,548.2476473576749,0.0012076323651067922,21.259154055122593,-18.773334283214155,0.0,0.02092151866074171,0.0,0.0,29.703607633934688,-2.7045029740823217,0.11756291583139543
815,703.729594335179,575.9764477867014,0.26949296526517363,-15.96899508115684,-43.80595015375164,0.0,-0.3383464676036686,0.0,0.0,52.838914384003246,-2.529753191629908,0.3858482487314623
816,706.5061424951539,577.6668568056621,0.5903174294660545,-32.215934277366465,-36.393812157299564,0.0,-0.4701190503548015,0.0,0.0,45.06127452718616,-2.713519620516009,0.7066727129323431
817,661.0718080349365,598.8725818400484,0.30611172200584735,16.212854897725553,-77.87876846027001,0.0,0.21440542670136137,0.0,0.0,69.48864274765866,-2.4384719897064286,0.422467005472136
818,626.9401004928462,582.5219787514301,-0.31132186333317574,85.78941839771261,-28.09367967523519,0.0,0.26245090543671956,0.0,0.0,47.59590340327184,-1.0318113291117808,-0.1949665798668871
819,741.9480604634919,558.7282913460023,-0.16588504686818517,-36.54589240215182,-35.753748617255525,0.0,-0.29031384250581077,0.0,0.0,38.84904867984224,-1.0747143251741385,-0.049529763401896534
820,739.5841887712105,575.1503126388639,0.45017834522564004,-55.504040113628136,-23.878035425168445,0.0,-0.14152163190297024,0.0,0.0,51.17723881901713,-2.6241045396255327,0.5665336286919287
821,643.2130361379594,577.892833849537,-0.09352683863999245,61.058212661896995,-42.877969858566814,0.0,0.14089291810632115,0.0,0.0,55.36652991646044,-2.2834286944529945,0.022828444826296188
822,775.7936747784995,601.3505321039563,-0.3523883322504165,-46.33771674026872,-93.59485085916441,0.0,-0.008803916403078593,0.0,0.0,82.59274245885197,-1.1292075199533256,-0.23603304878412784
823,727.221161940145,554.8579601292793,-0.5487947204812591,-9.995623898005626,-35.834415052841756,0.0,-0.364613521315411,0.0,0.0,30.804209539667635,-0.34399285839414284,-0.43243943701497045
824,673.5879440219737,592.6968750438172,0.5736514889709039,-12.112967058482322,-67.41452176890641,0.0,0.29715309938567497,0.0,0.0,58.02040932018245,-2.640059338148059,0.6900067724371926
825,583.3618816716482,596.1071803527351,-0.6086625588872759,133.7755176218716,12.04483319605113,0.0,0.35492448520348,0.0,0.0,56.90856942486779,-0.5389262567300258,-0.4923072754209873
826,652.9183981238102,601.6163631473913,0.014360020286922515,46.04119076018138,-72.78499723307714,0.0,0.3147232288560833,0.0,0.0,75.97323928118051,-2.1955901799070627,0.13071530375321117
827,768.5084355671984,552.5757590358251,-0.35509391826652487,-56.21151374058138,-45.455056065710274,0.0,-0.32316577692474807,0.0,0.0,34.1478003996388,-0.8969257373889534,-0.23873863480023622
828,630.1890628281541,584.3153186477468,0.37661253411787277,44.758724186219766,-76.6481749064343,0.0,0.3811801512288233,0.0,0.0,49.59838904592535,-2.604332574858959,0.4929678175841614
829,618.8644654008525,596.6181332365541,-0.5163374426175513,103.69426845277538,-18.311675889798742,0.0,0.29125608577494216,0.0,0.0,63.904754341257515,-0.6434822136030416,-0.3999821591512627
830,758.482525769068,564.1495076962684,-0.492873112517788,-35.12703762269544,-58.19695380152824,0.0,-0.1320138406444883,0.0,0.0,48.462267678827615,-0.5342684663820912,-0.37651782905149933
831,776.3118481290171,597.4853987051829,0.20466718436567033,-88.53656011341285,-51.056734377091615,0.0,-0.11062594403499837,0.0,0.0,82.86529533892764,-2.3036826689310774,0.321022467831959
832,606.8184059174298,607.0328830532809,-0.19794520332250598,106.6092472249677,-57.694244396198926,0.0,0.0825768593949936,0.0,0.0,69.771279502429,-1.2260523389159719,-0.08158991985621734
833,805.4172479678185,587.4198037721956,0.6576094828046966,-118.83520080003309,18.59287199262107,0.0,-0.4305490936541884,0.0,0.0,66.31710432524048,-2.6470909365763697,0.7739647662709852
834,709.3046259052946,591.5917474743981,0.68872018104765,-46.6461154450304,-42.02500543189488,0.0,-0.3588442790930249,0.0,0.0,57.83965101274327,-2.6919326353238455,0.8050754645139386
835,780.6063515214631,576.9393201873424,0.43372133501705545,-93.07925659499483,-9.171968009210872,0.0,-0.27661256291232894,0.0,0.0,58.514535476482756,-2.5714035263902657,0.5500766184833441
836,690.9486754392772,582.1832766057144,0.14951734246313908,1.1025926482672759,-53.44378728785733,0.0,0.45004557406831225,0.0,0.0,60.08648955327124,-2.403393160844868,0.26587262592942773
837,803.1524191440983,579.068322329883,-0.19892305744910177,-91.32286823877382,-68.97516865164212,0.0,-0.14337024181225988,0.0,0.0,64.8543753695167,-1.2072702604159602,-0.08256777398281313
838,703.7332541125993,550.0676998822922,-0.206511315572678,0.5634061466594207,-20.896172813010274,0.0,-0.3087510834995423,0.0,0.0,26.14896417634264,-0.8870271450804953,-0.09015603210638935
839,614.4019432683526,567.0605145761965,0.5897117779288976,50.252420686385804,-78.81950130913984,0.0,0.45001616798285254,0.0,0.0,11.41000954272985,-2.9124099377939716,0.7060670613951863
