Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	506.715	53.8212	586.061	447.37	1000.0	42.7846	4.38936	50.067	9.20781	252000	1.07288e-08	195.016	-0.018698	-20.7418	4.39071	0.0180196	0.2	11.0	248.08329010009766
63	450.188	76.0273	509.704	323.013	1000.0	45.5558	6.84508	51.9258	-13.2225	256000	2.19345e-08	252.828	-0.0167845	-52.6	4.39456	0.0161381	0.1645	10.0	251.2711317539215
64	491.443	24.3725	528.518	465.377	1000.0	43.9362	5.97688	50.8277	-10.4931	260000	-9.77516e-09	170.814	-0.0122028	-20.0374	4.40382	0.0157544	0.18925	6.0	255.7342128753662
65	497.732	11.3058	510.322	485.773	1000.0	42.3689	4.34281	49.6693	5.203	264000	-3.8147e-09	187.692	-0.0173753	-10.2623	4.34394	0.0162861	0.2225	11.0	258.9316956996918
66	494.966	25.9531	524.33	468.11	1000.0	43.0234	5.71124	51.2238	-1.52563	268000	-1.81198e-08	122.508	-0.0184254	-11.5923	4.31008	0.0151473	0.222	13.0	262.1488437652588
67	502.104	48.4273	554.369	445.213	1000.0	42.5915	5.35973	49.3879	1.88185	272000	6.79493e-09	225.118	-0.0465464	-13.3853	4.32809	0.0150912	0.209	72.0	265.9419846534729
68	544.838	31.3694	591.162	502.733	1000.0	44.0391	5.2245	51.4768	8.89677	276000	1.38283e-08	162.507	-0.0199197	-14.8242	4.22285	0.0178744	0.21	13.0	270.85774207115173
69	530.559	38.2523	564.984	468.876	1000.0	44.6115	3.22074	52.0185	20.9958	280000	-1.43051e-08	162.413	-0.0163669	-7.66229	4.26739	0.0175412	0.17825	11.0	274.0545537471771
70	505.196	67.7901	573.191	409.112	1000.0	42.8254	5.58583	51.5125	-1.56011	284000	1.07288e-09	200.684	-0.0108725	-33.9579	4.19491	0.0194462	0.25225	4.0	277.555303812027
71	508.444	42.2568	574.784	458.21	1000.0	39.8006	13.1652	51.0143	-33.0553	288000	-9.77516e-09	235.047	-0.0105996	-37.1305	4.20607	0.0229579	0.24425	3.0	281.96924352645874
72	574.574	42.7868	648.469	544.681	1000.0	45.5648	8.9598	52.7019	-21.1371	292000	-7.15256e-10	222.647	-0.00805013	-36.4173	4.18831	0.0170852	0.24525	4.0	285.0819730758667
73	587.941	27.7295	623.225	546.415	1000.0	45.8076	4.3367	53.1136	11.9503	296000	-3.69549e-09	139.516	-0.044721	-6.45889	4.12315	0.0121992	0.239	79.0	288.9383702278137
74	578.251	35.4578	632.064	546.04	1000.0	45.8891	5.69191	52.7038	-1.40423	300000	-2.09808e-08	172.241	-0.0113233	-7.72681	4.0857	0.0176577	0.19125	5.0	293.61754608154297
75	611.162	28.3918	648.599	579.482	1000.0	45.7582	5.34658	52.4129	2.72563	304000	1.81198e-08	159.036	-0.00943281	-10.6058	4.10398	0.0226624	0.24475	4.0	298.1219673156738
76	565.425	19.4663	590.615	541.575	1000.0	47.4556	6.20624	53.42	3.32171	308000	-1.00136e-08	194.28	-0.0105513	-41.6526	4.08839	0.0161755	0.2325	5.0	301.8711824417114
77	603.326	56.9723	683.801	523.453	1000.0	42.3193	5.44722	49.976	-8.31566	312000	1.28746e-08	172.585	-0.00937648	-22.1325	4.09684	0.0150332	0.2525	5.0	306.7763638496399
