Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
61	-9.160426	368.3847	482.46143	-494.69586	948.7	7.1775546	49.695118	138.69841	-299.7834	1240000	1.6784668e-08	4941.8994	-0.008037959	-3445.083	4.5035815	0.005403851	0.0748	79.0	3273.156718492508	1239
62	191.2322	246.38628	511.169	-442.49435	1111.1765	12.566953	42.21345	205.81609	-195.18695	1260000	-6.1035155e-09	1336.6394	-0.007749689	-821.9856	4.524594	0.008548079	0.09095	79.0	3330.8794667720795	1257
63	160.72586	250.12354	419.27737	-495.95502	1139.2354	11.817629	34.510353	166.74614	-202.60419	1280000	7.629395e-09	738.0094	-0.007292662	-247.2594	4.477571	0.008953227	0.0858	79.0	3388.733423471451	1275
64	26.625015	294.39096	539.98816	-554.0444	990.65	8.544254	43.638332	150.2237	-302.8901	1300000	-7.629395e-09	3113.348	-0.0035379652	-2717.5989	4.4522467	0.0130846575	0.18345	3.0	3432.4782643318176	1296
65	298.12186	130.72778	487.1741	70.884056	1200.0	15.886847	31.377462	129.23816	-383.10992	1320000	1.5258789e-09	715.60175	-0.009121612	-689.034	4.447122	0.009155336	0.09525	79.0	3490.5091321468353	1313
66	153.74683	286.83038	500.31735	-604.3647	1086.8334	19.517237	22.478058	115.997986	-190.33727	1340000	-2.2888184e-08	752.4493	-0.0074444064	-678.4301	4.4144	0.005732201	0.08405	79.0	3547.744081258774	1332
67	61.209736	338.81036	392.06577	-591.8301	995.7	9.465421	49.560974	85.65553	-426.32605	1360000	-1.2207031e-08	1005.0718	-0.009759953	-639.2812	4.4065914	0.006340823	0.077	79.0	3605.717999458313	1353
68	151.46997	232.37416	387.49664	-507.3037	1103.8334	8.969402	41.90574	87.04416	-447.45416	1380000	-1.5258789e-09	1094.925	-0.0092548	-805.42236	4.363746	0.011748209	0.0923	79.0	3664.271762609482	1372
69	209.55428	190.13243	493.5366	-466.75943	1165.1177	15.006175	29.36678	119.26504	-212.50716	1400000	3.0517577e-09	1194.204	-0.010948605	-1090.5477	4.3745923	0.011524849	0.1176	79.0	3722.077597618103	1390
70	192.69179	305.6239	534.0778	-573.42804	1067.4445	22.684256	31.429098	127.44718	-315.98587	1420000	6.1035155e-09	2032.6364	-0.0023726164	-1743.4984	4.3566556	0.017529842	0.20945	2.0	3765.2669999599457	1409
71	233.74179	92.54736	443.08743	117.909256	1200.0	16.032957	23.789618	160.89099	-317.55325	1440000	3.0517577e-09	240.28975	-0.010907312	-223.92213	4.355999	0.010143687	0.11765	79.0	3823.613814353943	1426
72	194.72382	172.85072	403.2148	-394.83008	1157.1765	15.694442	22.8569	121.90005	-169.37616	1460000	1.9836426e-08	506.0662	-0.002136656	-296.84348	4.304686	0.018904703	0.222	2.0	3866.978470802307	1444
73	4.2221193	341.14362	500.26974	-572.62775	965.3	12.617311	47.319553	85.17136	-309.72757	1480000	1.2969971e-08	2815.5613	-0.008771087	-1355.509	4.3305526	0.005075128	0.083	79.0	3924.9682133197784	1465
74	147.7088	286.75702	552.0199	-590.6261	1090.0	13.229056	38.126495	130.74763	-362.61127	1500000	-1.1444092e-08	3197.5808	-0.01102862	-2572.976	4.344086	0.01031046	0.0994	79.0	3982.9087834358215	1484
75	271.07843	123.793594	451.2304	131.46355	1200.0	14.639763	40.425674	144.89072	-315.3857	1520000	3.2806398e-08	1450.0466	-0.00933992	-1428.1757	4.375306	0.0115895895	0.10805	79.0	4041.2121477127075	1501
76	238.93227	222.95338	458.93787	-493.78934	1158.8235	21.523508	22.13996	111.97881	-73.62811	1540000	3.0517577e-09	874.6199	-0.010411346	-559.5758	4.3955016	0.010907974	0.1254	79.0	4100.576206922531	1519
